dataset,part,budget,usage,source tokens,source documents,source length,sample tokens,sample documents,sample length,token reduction,document reduction
nemotron-cc-tower+-0.1,parallel/tower72b/ita_Latn,18648300000,0.227,82285655894,140359346,586.2,,,,,
nemotron-cc-tower+-0.1,parallel/tower72b/spa_Latn,59416300000,0.649,91611305219,140359346,652.7,,,,,
nemotron-cc-tower+-0.1,parallel/tower72b/swe_Latn,6889500000,0.077,89681716339,140359346,638.9,,,,,
nemotron-cc-tower+-0.1,parallel/tower9b/dan_Latn,6477900000,0.074,87700534458,140359346,624.8,,,,,
nemotron-cc-tower+-0.1,parallel/tower9b/fra_Latn,52567000001,0.513,102377460080,140359346,729.4,,,,,
nemotron-cc-tower+-0.1,parallel/tower9b/hun_Latn,7048700000,0.071,99853552237,140359346,711.4,,,,,
nemotron-cc-tower+-0.1,parallel/tower9b/isl_Latn,2314600000,0.024,97348571405,140359346,693.6,,,,,
nemotron-cc-tower+-0.1,parallel/tower9b/nld_Latn,11662600000,0.125,93648923682,140359346,667.2,,,,,
nemotron-cc-tower+-0.1,parallel/tower9b/nno_Latn,504600000,0.006,90132244358,140359346,642.2,,,,,
nemotron-cc-tower+-0.1,parallel/tower9b/nob_Latn,6790000000,0.081,84161194674,140359346,599.6,,,,,
nemotron-cc-tower+-0.1,parallel/tower9b/pol_Latn,14550100000,0.174,83828958663,140359346,597.2,,,,,
nemotron-cc-tower+-0.1,parallel/tower9b/por_Latn,20573100000,0.228,90185273844,140359346,642.5,,,,,
nemotron-cc-tower+-0.1,parallel/tower9b/ron_Latn,6360100000,0.064,100047217252,140359346,712.8,,,,,
nemotron-cc-tower+-0.1,parallel/tower9b/ukr_Cyrl,6413100000,0.063,102496405840,140359346,730.2,,,,,
nemotron-mind-0.0,,88199414000,0.667,132299120775,231590130,571.3,,,,,
nemotron-pretraining-specialized-1.0,,455802875000,1.533,297262744790,60655840,4900.8,,,,,
nemotron-pretraining-specialized-1.1,,27364111000,2.667,10261541500,19772096,519.0,,,,,
openwebmath-0.0.0,data,36783069000,2.667,13793650775,6315233,2184.2,,,,,
starcoder-0.0.0,,167970397000,0.607,276861687159,206642239,1339.8,,,,,
swallow-code-2.0,stage5-auto-format/python/medium,33448169000,0.533,62716070265,28705016,2184.8,,,,,
swallow-math-2.0,,93444992000,2.667,35041872140,25938075,1351.0,,,,,
